GeneratedAnonCID,ShopsWholeFoods,HouseholdIncome,HouseholdTotal,HealthHelpValueSegment,Customer_long,Customer_lat,Units_Purchased_Sum,Dollars_Purchased_Sum,Wegmans_Brand,Kosher,Organic,Store_lat,Store_long
95,0,0,4,3,-77.48,43.12,22,66.1,134,5,38,43.1019,-77.4825
96,0,3,4,3,-78.86,42.73,38,166.23,157,2,33,42.83515,-78.78386
97,1,0,4,3,-74.52,40.57,1111,4055.18,174,6,70,40.57372,-74.67051
98,0,3,2,2,-77.09,43.02,43,150.81,12,0,0,43.0452,-77.1139
100,0,4,1,1,-77.28,43.01,397,1478.93,118,6,22,43.07076,-77.44436
101,0,1,1,not reported,-77.67,43.22,399,955.88,65,4,23,43.22629,-77.66106
102,0,4,2,3,-75.06,39.91,256,1019.91,82,5,11,39.92248,-75.03552
103,0,2,2,not reported,-76.41,43.29,205,645.27,45,1,9,43.188,-76.23777
104,0,4,1,1,-76.51,39.24,60,150.51,46,2,9,39.413218,-76.774252
105,0,0,3,1,-78.72,42.87,1008,4021.63,149,6,7,42.883,-78.7002
106,0,3,2,3,-73.97,40.69,40,176.41,128,4,31,40.838,-74.437
107,0,0,1,3,-77.56,43.1,529,1759.62,174,12,62,43.1061,-77.54366
109,0,2,1,1,-77.49,43.13,22,95.94,59,1,9,43.16385,-77.6884
110,0,3,2,3,-71.35,42.27,956,3171.55,73,6,46,42.301849,-71.385773
111,0,3,3,not reported,-78.81,42.84,207,1020.15,65,3,3,42.83515,-78.78386
113,0,0,4,3,-71.66,42.17,264,1583.93,47,0,10,42.29133,-71.67102
114,0,0,1,1,-74.9,40.62,13,73.6,37,1,4,40.57372,-74.67051
115,0,2,1,3,-77.59,43.15,52,119.61,27,1,8,43.14619,-77.55622
116,0,4,6,not reported,-76.17,43.24,35,396.96,8,0,0,43.188,-76.23777
117,0,6,9,1,-72.99,41.81,96,511.02,37,1,6,42.29133,-71.67102
118,0,5,2,3,-77.35,43.12,939,4836.41,167,5,27,43.12915,-77.4453
119,0,4,2,1,-75.97,42.11,334,1195.63,143,3,9,43.188,-76.23777
120,0,6,2,1,-77.72,43.25,121,582.55,113,4,20,43.20785,-77.70403
121,0,0,2,3,-76.42,39.52,443,1812.32,93,4,13,39.46635,-76.3084
122,0,3,5,1,-78.83,42.98,507,2066.15,133,12,17,42.98973,-78.816
123,1,6,3,not reported,-73.67,41.01,1126,3716.47,130,2,14,41.020969,-73.718156
124,0,3,4,2,-78.81,42.85,948,3757.36,199,13,45,42.83515,-78.78386
125,0,3,2,1,,,516,2474.13,105,6,14,42.06996,-80.1919
126,0,0,1,2,-76.29,43.17,164,668.4,41,4,1,43.188,-76.23777
127,0,3,5,3,-76.05,43.04,1488,5959.32,114,9,16,43.03306,-76.05325
129,0,3,2,3,-78.96,43.08,261,1289.31,184,7,51,43.0389,-78.8216
130,0,0,2,1,-77.4,38.91,66,394.56,45,4,3,38.87791,-77.44355
131,0,0,2,2,-76.72,39.37,175,492.99,24,3,0,39.413218,-76.774252
132,0,0,2,0,-80.04,42.09,25,99.65,91,2,14,42.06996,-80.1919
133,0,3,2,2,-76.24,43.17,258,1265.97,92,2,16,43.188,-76.23777
134,0,4,2,2,-76.21,42.96,21,128.55,7,0,0,43.03306,-76.05325
135,1,5,2,3,-77.31,38.81,237,561.4,43,4,4,38.85101,-77.34734
136,0,3,3,1,-77.48,43.21,101,270.04,115,9,14,43.2138,-77.44491
137,0,5,2,not reported,-77.06,38.71,395,2673.81,59,1,10,38.925077,-77.210908
138,0,0,2,3,-77.82,43.08,697,2813.14,124,8,34,39.0891,-77.5228
139,0,2,1,3,-74.24,40.25,518,2071.08,102,12,30,40.28995,-74.29835
140,0,5,2,2,-78.79,42.96,279,1203.05,40,3,8,42.977,-78.7378
141,0,4,2,3,-77.54,43.08,31,121.19,30,1,11,43.08358,-77.62748
142,0,0,5,not reported,-77.58,43.2,23,70.09,291,11,64,42.797626,-77.78252
143,0,0,3,1,,,54,221.81,66,2,13,42.883,-78.7002
144,0,4,2,3,-77.61,43.21,69,364.96,22,2,7,43.12915,-77.4453
145,0,1,1,not reported,-77.44,37.54,25,62.95,61,2,13,37.66305751,-77.63599813
146,0,0,1,1,-76.48,40.11,272,974.52,73,1,4,40.061247,-76.340245
147,1,5,4,1,-76.27,40.07,8,50.96,5,0,0,40.061247,-76.340245
148,0,4,3,not reported,-79.26,35.64,88,463.65,41,0,8,35.945277,-79.008678
149,0,3,2,3,-78.54,37.97,202,974.79,57,4,23,38.009,-78.50025
150,0,0,2,3,-75.52,40.52,441,1908.83,100,4,21,40.5915,-75.5411
151,0,3,4,1,-76.39,40.2,337,1286.56,94,7,9,40.061247,-76.340245
152,0,6,2,3,-76.37,39.53,96,444.79,38,2,7,39.46635,-76.3084
153,0,3,2,1,-78.89,42.65,35,138.82,21,2,1,42.783316,-78.812274
154,0,4,2,1,-77.7,42.8,3,12,52,4,3,43.20785,-77.70403
156,1,6,4,1,-75.99,36.88,708,2483.58,151,5,26,36.842046,-76.140387
157,0,0,4,1,-80.01,42.11,95,269.27,52,2,5,42.0602,-80.0907
158,0,4,1,3,-71.67,42.28,324,1647.65,91,5,58,42.29133,-71.67102
159,0,5,4,1,-77.7,43.24,195,1046.07,96,4,9,43.2525,-77.6985
160,0,0,5,3,-75.5,40.16,949,3042.81,136,10,25,40.1647,-75.4817
161,0,0,1,not reported,-78.82,35.76,635,2114.32,99,4,7,35.828457,-78.850097
162,0,5,3,3,-75.27,40.65,1734,8165.45,327,12,60,40.71403,-75.28702
163,0,5,2,not reported,-74.33,40.53,91,332.22,21,2,1,40.5488,-74.2968
164,0,3,2,1,,,261,699.02,62,3,4,40.5488,-74.2968
165,0,4,6,2,-77.55,43.18,963,3821.45,145,6,14,43.19323,-77.5043
166,0,6,4,2,-77.71,43.26,1415,5310.8,249,10,46,43.2525,-77.6985
167,0,2,3,3,-77.41,39.63,431,847.04,55,1,4,39.44611,-77.39997
168,0,2,2,2,-78.74,42.98,37,148.12,96,5,3,42.92117,-78.7378
169,0,0,2,not reported,-77.4,39.46,245,963.33,71,11,9,39.44611,-77.39997
170,0,0,2,3,-75.22,40.67,506,2142.01,93,6,12,40.71403,-75.28702
171,0,0,2,3,-77.44,38.85,1225,5101.32,205,8,88,38.87791,-77.44355
172,0,4,4,not reported,-77.71,43.03,942,4066.03,171,12,21,43.06729,-77.61175
173,0,4,2,3,-76.62,39.29,26,95.34,17,0,4,39.4967,-76.656
174,0,0,2,3,-78.91,43.08,1111,3994.94,144,5,26,43.0949,-78.9704
175,0,4,4,2,-78.83,42.98,6,16.49,157,9,15,42.1455,-77.0626
176,0,3,2,2,-77.34,43.21,550,2165.03,115,4,10,43.2138,-77.44491
177,0,4,2,2,-75.9,42.06,132,487.46,44,3,6,42.1232,-75.974
178,0,0,2,1,-78.78,43.07,7,22.14,212,7,60,42.9946,-78.700012
179,0,0,4,not reported,-77.59,39.09,1391,7062.9,179,3,33,39.0891,-77.5228
180,0,0,4,2,-77.39,43.09,504,2256.17,113,7,6,43.07076,-77.44436
181,0,3,2,1,-76.27,43.19,102,323.61,71,4,3,43.188,-76.23777
182,0,0,4,1,-75.43,40.24,183,855.85,26,2,3,40.1647,-75.4817
183,0,0,3,0,-78.72,43.02,264,1211.4,212,10,41,42.9946,-78.700012
184,1,0,3,3,-74.81,40.24,334,1079.58,96,3,13,40.3074,-74.67511
185,0,0,2,3,-78.84,42.79,764,2713.29,150,6,18,42.783316,-78.812274
186,0,2,1,3,-76.15,43.23,224,836.89,81,2,11,43.1557,-76.119
187,0,5,5,1,,,66,268.33,200,8,10,43.22629,-77.66106
188,1,0,4,not reported,-74.29,40.64,243,929.95,75,5,42,40.5488,-74.2968
189,0,3,6,not reported,-76.14,42,61,180.83,28,1,1,42.1232,-75.974
190,0,0,1,2,-80.08,42.08,349,1556.25,60,2,3,42.0602,-80.0907
191,0,6,1,2,-77.38,38.86,305,1069.27,108,5,13,38.85101,-77.34734
192,0,4,8,3,-79.03,43.11,169,532.51,63,5,8,43.0949,-78.9704
193,0,4,2,not reported,,,299,1039.94,93,6,9,39.868387,-75.541097
194,0,0,2,1,-74.91,40.68,300,1214.77,165,16,29,40.71403,-75.28702
196,0,0,3,1,-73.97,41.2,81,379.2,27,1,3,41.049652,-74.060513
197,0,4,3,1,-71.08,42.42,175,910.17,58,1,2,42.40669,-71.091868
198,0,3,5,3,-77.62,42.82,376,2049.88,112,7,39,42.797626,-77.78252
199,0,4,5,2,-77.54,38.5,17,46.34,10,0,2,38.63084,-77.288841
200,0,2,4,2,-77.46,42.63,340,1317.3,77,10,6,42.87541,-77.25408
201,0,5,3,1,-77.76,40.9,1,7.99,0,0,0,40.8118,-77.90818
202,0,2,1,not reported,-77.69,43.17,45,182.72,19,2,0,43.16385,-77.6884
203,0,6,2,not reported,-77.12,38.9,23,128.74,123,11,9,39.0891,-77.5228
204,0,4,2,1,,,124,480.64,58,2,3,42.9314,-76.5654
205,0,3,2,2,-78.78,42.95,20,69.77,103,7,10,42.92117,-78.7378
206,0,2,3,1,-80.23,42.05,24,111.03,16,0,0,42.06996,-80.1919
207,0,0,4,not reported,-74.06,41.07,566,1938.94,92,6,29,41.049652,-74.060513
209,0,4,2,1,-78.69,35.81,439,1230.83,118,5,5,35.821138,-78.621264
210,1,0,4,0,-75.57,40.58,304,1028.54,58,3,10,40.5915,-75.5411
211,1,3,2,not reported,-78.91,43.1,223,970.9,134,5,40,43.0949,-78.9704
212,0,3,4,2,-77.79,43.11,745,2521.87,164,8,8,43.1031,-77.7458
213,0,4,4,2,-77.43,43.11,1204,4599.16,236,8,25,43.12915,-77.4453
214,0,5,4,3,-75.49,40.24,213,1171.34,57,4,2,40.1647,-75.4817
215,0,4,3,2,-77.46,43.24,203,859.28,45,1,7,43.2138,-77.44491
216,0,0,2,0,-78.96,43.07,58,262.19,65,4,12,42.9387,-78.8829
217,0,0,4,3,-78.83,42.98,727,3658.78,134,5,20,42.98973,-78.816
218,0,3,1,1,-75.96,42.99,459,2076.74,116,2,34,43.03306,-76.05325
219,0,2,3,2,-76.04,42.13,594,2404.72,154,7,14,42.1232,-75.974
220,0,5,4,3,-77.41,43.01,13,27.13,92,3,4,43.1019,-77.4825
221,0,0,3,2,-77.48,43.11,241,1349.04,59,3,1,43.1019,-77.4825
222,0,6,5,3,-76.5,39.54,940,3699.56,115,3,32,39.46635,-76.3084
223,0,3,2,2,-78.73,42.87,20,79.34,12,2,1,42.883,-78.7002
224,0,5,5,3,-76.78,39.21,532,2129.06,27,1,31,39.1856,-76.8215
225,1,0,1,3,-78.66,42.88,747,2703.19,132,8,15,42.883,-78.7002
226,0,3,2,1,-77.49,43.04,181,657.15,73,5,5,43.1019,-77.4825
227,0,0,2,not reported,-77.6,43.06,570,1930.9,93,5,7,43.06729,-77.61175
228,0,5,4,0,-77.42,43.12,859,3263.16,165,7,26,43.12915,-77.4453
229,0,5,4,not reported,,,89,493.74,156,10,21,35.828457,-78.850097
230,0,6,2,3,-77.72,43.23,1262,4349.45,190,11,30,43.20785,-77.70403
231,0,4,2,1,-77.22,38.89,509,2452.02,174,6,15,38.85101,-77.34734
232,1,6,5,not reported,-76.77,38.88,97,560.88,45,4,0,38.9209,-76.8501
233,0,0,2,3,-77.62,37.64,5,39.46,3,0,0,37.66305751,-77.63599813
234,1,0,2,3,-74.39,39.95,55,254.4,15,0,2,40.5488,-74.2968
235,0,3,2,2,-79.88,42.04,6,18.04,1,0,0,42.0602,-80.0907
236,0,4,6,not reported,-75.25,40.66,789,2792.73,79,5,13,40.71403,-75.28702
237,0,0,2,3,-76.51,42.44,150,470.91,71,2,19,42.4353,-76.5107
238,0,0,2,3,-77.3,39.42,127,453.97,35,2,3,39.44611,-77.39997
239,0,3,3,not reported,-76.97,40.27,1393,5459.61,143,9,13,40.2535,-77.0123
240,0,2,1,not reported,-77.69,43.07,76,258.37,211,7,30,43.07076,-77.44436
241,0,6,2,1,-75.77,40.46,1396,7739.15,109,8,10,40.5915,-75.5411
242,0,6,8,not reported,-77.79,43.28,24,90.68,165,9,15,43.16385,-77.6884
243,0,3,1,1,-71.12,42.48,313,1443.21,146,5,19,42.40669,-71.091868
244,0,5,3,2,-76.21,43.14,48,161.01,88,7,4,43.14619,-77.55622
245,0,3,1,2,-76.14,43.08,203,927.69,70,2,7,43.0687,-76.0877
247,0,4,4,2,-76.15,43.37,21,51.62,31,2,2,43.188,-76.23777
248,0,3,5,2,-76.34,43.25,815,3908.33,113,7,12,43.188,-76.23777
249,0,0,5,3,-77.45,43.13,801,3454.24,155,7,30,43.12915,-77.4453
250,1,4,2,3,-75.63,40.63,710,3525.86,122,4,98,40.5915,-75.5411
251,0,5,3,not reported,-77.23,38.74,151,479.99,42,4,10,38.74177,-77.16276
252,0,3,2,3,,,53,248.79,18,0,7,40.838,-74.437
254,0,0,2,3,-75.21,41.55,11,34.22,18,0,5,41.2356,-75.8624
256,0,0,2,3,-75.88,42.06,702,2954.79,115,6,33,42.1232,-75.974
257,0,3,3,2,-78.82,42.71,412,1381.28,98,4,4,42.783316,-78.812274
258,0,0,2,1,,,9,29.14,141,8,21,40.2303,-75.1319
259,0,0,4,3,-77.13,38.74,625,3143.94,88,4,31,38.74177,-77.16276
260,1,3,2,3,-75.15,39.94,203,1074.52,45,3,22,39.92248,-75.03552
261,0,3,2,1,-73.94,40.77,797,2586.63,125,7,17,40.239108,-74.03991
262,0,4,3,3,-77.77,38.65,1373,5940.72,142,1,30,38.7842,-77.6524
263,0,0,4,3,-77.69,38.75,701,3654.49,132,5,91,38.7842,-77.6524
264,0,2,3,1,-74.14,41.3,8,65.08,43,3,2,43.22629,-77.66106
266,1,6,2,not reported,-73.75,41.04,133,555.67,50,2,5,41.020969,-73.718156
267,0,5,4,1,-76.7,42.45,1002,4310.41,222,8,28,42.4353,-76.5107
268,0,0,1,1,-77.44,43.22,9,57.82,53,3,6,43.19323,-77.5043
269,0,0,4,3,-76.95,40.26,1060,5172.21,183,10,39,40.2535,-77.0123
270,0,2,2,2,-79.2,42.11,443,1587.08,124,6,13,42.09373,-79.29009
271,0,4,3,1,-74.77,40.29,448,2062.48,134,4,20,40.3074,-74.67511
272,0,6,3,not reported,-77.43,43.14,17,58.6,13,0,1,43.12915,-77.4453
274,0,3,4,not reported,-77.23,38.89,491,1462.39,145,10,18,38.925077,-77.210908
275,0,2,2,2,-76.23,43.13,5,30.05,79,1,3,43.188,-76.23777
276,0,3,3,2,-80.01,41.85,186,453.9,64,2,6,42.0602,-80.0907
277,0,3,2,not reported,-75.25,40.66,112,523.2,29,0,0,40.71403,-75.28702
278,0,3,2,3,-76.39,43.07,433,1252.95,100,3,49,43.0472,-76.2262
279,0,5,2,3,-77.46,43.23,537,2094.61,176,10,29,43.2138,-77.44491
280,0,0,1,1,-75.03,39.91,570,1895.27,55,5,2,39.92248,-75.03552
281,0,0,2,not reported,-71.69,42.25,83,403.18,28,1,2,42.29133,-71.67102
282,0,3,2,3,-78.52,42.76,24,79.92,41,1,13,42.883,-78.7002
283,0,4,4,not reported,-75.96,42.06,22,55.26,171,10,25,41.2356,-75.8624
284,0,2,4,3,-77.64,37.49,805,4345.95,81,1,70,37.502222,-77.624963
285,0,3,2,1,-77.48,43.2,308,1304.54,102,4,5,43.2138,-77.44491
286,0,4,2,1,-74.47,40.85,1066,5245.4,243,17,47,40.838,-74.437
287,0,4,3,3,-75.3,40.96,365,1741.97,123,4,17,40.71403,-75.28702
288,0,4,3,1,-77.25,42.82,1207,4541.59,190,13,21,42.87541,-77.25408
289,0,5,3,1,-78.8,42.83,1317,5520.95,193,9,18,42.83515,-78.78386
290,0,0,2,2,-78.92,42.68,503,1769.28,101,6,3,42.783316,-78.812274
291,0,3,5,0,-80.13,42.07,465,1990.57,126,4,16,42.0602,-80.0907
292,0,4,5,2,-77.46,43.15,682,2957.35,119,10,14,43.12915,-77.4453
293,0,6,4,not reported,-73.68,41.16,37,134.02,15,0,6,41.020969,-73.718156
294,0,4,4,2,-78.96,43.08,923,4256.88,181,9,24,43.0949,-78.9704
295,1,5,2,0,-77.15,38.89,3,43.99,0,0,0,38.85101,-77.34734
296,0,3,1,2,-77.72,43.19,119,617.99,71,2,1,43.22629,-77.66106
297,0,1,1,not reported,,,347,943.64,82,4,9,43.2138,-77.44491
298,0,4,4,not reported,-78.8,43.04,906,3813.24,129,7,7,43.0389,-78.8216
299,0,6,4,not reported,-77.54,43.15,1907,7598.65,256,14,23,43.14619,-77.55622
300,0,3,1,1,-77.57,43.14,373,1291.59,122,6,11,43.14619,-77.55622
301,0,3,3,not reported,-77.75,43.12,1,34.99,111,7,6,43.16385,-77.6884
302,0,0,4,3,-75.9,41.2,16,33.77,14,2,0,42.319621,-71.175656
303,0,4,4,3,-75.12,40.09,473,2315.79,130,4,40,40.237513,-75.246354
304,0,3,1,not reported,-78.92,35.93,627,1616.38,140,4,16,35.945277,-79.008678
305,0,0,2,3,-80.06,42.07,220,807.39,80,6,15,42.0602,-80.0907
306,0,3,2,not reported,-76.23,43.24,277,1075.21,91,3,23,42.797626,-77.78252
307,0,4,3,1,-76.33,40.08,454,2055.49,108,6,8,40.061247,-76.340245
308,0,4,2,1,-77.47,42.51,55,189.28,214,10,26,43.1061,-77.54366
309,0,3,4,3,-78.06,43.04,1018,3908.34,128,10,16,43.20058,-77.94611
310,0,3,1,3,-78.67,35.84,139,479.98,56,1,8,35.821138,-78.621264
311,0,3,2,2,-76.16,42.01,152,428.11,39,1,1,42.1232,-75.974
312,1,5,3,not reported,-75.2,40.04,49,234.55,19,1,1,39.92248,-75.03552
313,0,3,2,3,-71.35,42.27,124,421.54,54,1,25,42.301849,-71.385773
314,0,0,2,2,-75.8,40.69,323,980.4,90,3,6,40.5915,-75.5411
315,0,5,2,1,-78.05,43.2,796,4195.92,141,6,17,43.20058,-77.94611
317,0,5,4,3,-76.69,39.01,547,2440.32,135,7,29,39.03229,-76.68869
318,0,0,2,3,,,17,101,153,5,51,43.07076,-77.44436
319,0,0,3,not reported,-75.35,41.68,51,223.08,26,1,3,41.4755,-75.63376
320,0,4,2,3,-77.78,42.75,57,274.85,94,3,17,43.1061,-77.54366
321,0,0,1,not reported,-78.75,42.95,49,125.73,45,0,3,42.9946,-78.700012
322,1,not reported,2.630034809,not reported,-77.04,38.99,122,614.16,35,2,16,39.20017,-77.2547
323,0,not reported,2.630034809,not reported,-76.85,40.13,1237,5305.01,170,10,26,40.2535,-77.0123
324,0,5,3,1,-77.25,42.83,1034,4904.75,131,4,11,42.87541,-77.25408
325,0,2,2,not reported,-77.64,43.12,96,338.88,31,0,4,43.16385,-77.6884
326,0,4,2,3,-75.36,40.62,166,572.88,240,12,48,40.237513,-75.246354
327,0,2,2,2,-77.78,43.07,19,73.63,6,0,0,43.16385,-77.6884
328,0,4,2,not reported,-77.59,43.23,271,1238.25,91,5,4,43.14619,-77.55622
329,0,0,2,0,-75.91,43.05,1346,5390.73,170,11,20,37.502222,-77.624963
330,0,3,4,2,-75.53,40.58,450,1769.67,116,4,8,40.5915,-75.5411
331,0,0,1,2,-78.8,42.98,209,886.47,62,1,4,42.98973,-78.816
332,0,0,4,2,-75.68,40.01,901,2809.36,74,8,7,40.01648,-75.6786
333,0,0,2,not reported,-79.04,35.84,136,816.77,33,3,7,35.945277,-79.008678
334,0,3,3,2,-77.45,43.13,41,103.26,172,6,9,41.020969,-73.718156
335,0,5,5,1,-77.57,43.12,959,4148.72,141,8,27,43.1061,-77.54366
336,1,0,4,not reported,-77.29,38.79,231,700.19,56,4,14,38.85101,-77.34734
337,0,3,5,1,-77.3,42.89,230,1146.53,115,8,13,43.07076,-77.44436
338,1,6,3,3,-77.39,38.89,409,1454.47,97,0,23,38.85101,-77.34734
339,1,6,2,1,-71.69,42.31,159,921.64,50,4,18,42.29133,-71.67102
340,0,5,3,1,-77.46,43.23,586,1840.08,130,6,17,43.2138,-77.44491
